"hgnc symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"G630025P09Rik",128.673412677077,0.181370212080737,0.462255087756327,0.392359579990917,0.694792547024686,0.948485774866329
"Tmem102",136.578872302591,0.193410109444828,0.473538011315358,0.408436291962261,0.682953393730613,0.944309690400435
"4933402P03Rik",14.0005345189891,0.678999732577754,0.631182764153527,1.07575772207334,0.282035624798469,0.740855211000165
"Spem1",17.6636738442385,0.563486674106136,0.497102370445509,1.13354252083154,0.256986495405407,0.716838151846126
"Nlgn2",1311.24631922516,0.488814869959623,0.252026956986228,1.93953407129514,0.0524363399509897,0.344628557826158
"1810027O10Rik",366.525049515394,-0.0267482643310604,0.177943568075443,-0.150318803991386,0.880513098107248,0.984604815388913
"Plscr3",1818.02377235726,0.107135559476858,0.163128409527297,0.656755986203195,0.511337829078863,0.885008679141711
"Tnk1",1306.20919492778,0.173039772770562,0.319851799370485,0.540999841523884,0.588507691943403,0.912162594134411
"Tmem95",203.507669270994,1.20792276779347,0.309077890691715,3.90815003004629,9.30055476165258e-05,0.00342284438802
"Kctd11",2373.47850791565,1.60492240412998,0.29448981433639,5.44984011669995,5.04151220141285e-08,5.18366205575166e-06
"Acap1",242.39156230057,0.894158145098979,0.257365029229749,3.47427988866648,0.000512226426874025,0.0138634742698184
"2810408A11Rik",476.138253700099,0.903262779439321,0.358291803644511,2.52102551677548,0.0117013366423548,0.135308151886986
"Neurl4",764.785667375736,0.209060762819492,0.177361894455633,1.17872423195045,0.238508003318642,0.694731671902386
"Gps2",823.668230541532,-0.154587533686792,0.163690310353457,-0.944390253479209,0.344970260230742,0.793251567850725
"Eif5a",15044.771651921,-0.368280576069549,0.266308527698119,-1.38290943685822,0.166692636386182,0.601704310169232
"Ybx2",111.148060162726,0.260510002519595,0.373462015131969,0.697554214255335,0.48545602360902,0.873242970775465
"Slc2a4",125.71928811919,-0.105768400005508,0.329926827887525,-0.320581386735743,0.748527644932168,0.960502434494086
"Elp5",1027.27789809847,-0.0759819905664132,0.193610426352654,-0.392447824209709,0.694727355693775,0.948485774866329
"Cldn7",1665.96529157261,0.175533134576202,1.00235915822119,0.175119998791358,0.860985344322345,0.981058609857895
"Ctdnep1",1787.20596936197,0.183651612943132,0.169226377210634,1.08524224160719,0.277814379763797,0.738460717699689
"Phf23",733.131961518777,0.232323633646359,0.184577783960041,1.25867603707202,0.208147370163741,0.658198413547266
"Gabarap",4274.09648622896,0.222836486644458,0.233351906883167,0.954937500279466,0.339609304259658,0.78960633850541
"Dvl2",1542.47365741117,-0.062815709082966,0.114999289648956,-0.546226931268149,0.584909955948375,0.911250493135893
"Acadvl",2399.47344920012,-0.0393022608572216,0.123789775529269,-0.317491979359223,0.75087032446224,0.961241574962681
"Dlg4",488.392014177999,0.0203019083794498,0.633047053641025,0.032070141173048,0.974416115048913,0.996689667869672
"Mir324",56.6187559393316,-0.177693418849657,0.19630380512514,-0.905195998296519,0.365361561503348,0.806894050853331
"Asgr1",12.3905990970252,0.762144518144595,0.819167468913062,0.930389141497368,0.352169638622401,0.798525146020846
"Asgr2",13.4963433827171,-1.90767567958122,1.16525708533474,-1.63712858182983,0.101603605638684,0.480891787198155
"Mgl2",7.46848495459925,0.221766825866717,1.57867445063548,0.14047660413928,0.888283436375463,0.984753351278717
"Clec10a",7.74988425820444,-1.83234935165179,1.83359570366466,-0.999320268906403,0.317639569712086,0.769010580129083
"Slc16a11",338.114881066898,0.678656224403837,0.533813168643888,1.27133661038732,0.203608923277981,0.652012713537629
"Slc16a13",225.38186195182,0.335769793192729,0.295136875737012,1.13767482411084,0.255256289760768,0.715094680083635
"Bcl6b",27.1140943132874,0.622277600758998,0.598240217062379,1.04018015340836,0.298256210308439,0.753395680914558
"Mir497",0.792145529084986,1.05951364054812,1.70964468795375,0.619727390149257,0.535437279684903,NA
"Mir195",0.792145529084986,1.05951364054812,1.70964468795375,0.619727390149257,0.535437279684903,NA
"0610010K14Rik",3669.09477825235,-0.136985639091123,0.196924288293037,-0.69562591937506,0.486663129703659,0.873602362148928
"Rnasek",3053.57719957623,-0.0933306809289896,0.19192769219922,-0.486280431237161,0.62676835167799,0.924574295995237
"Alox12",114.919800371021,0.121255154172644,0.702097339158354,0.172704192723475,0.862883948000852,0.981058609857895
"Alox12e",11.9488973860303,-0.404912197585548,1.54440077931999,-0.262180777818458,0.793182072265934,0.969512508906606
"Alox15",46.278968154465,-1.77268918138586,0.85463997332137,-2.07419408958453,0.0380612889325248,0.284134929018365
"Pelp1",683.807179623225,-0.220225638964301,0.269849589747956,-0.81610514646324,0.414440000714244,0.838011090289414
"Arrb2",612.621378376233,0.0835020611041992,0.45654097333719,0.182901570682302,0.854875250461131,0.98083286556864
"Zmynd15",187.89521600846,-0.438048134582903,0.516376493320873,-0.848311532861939,0.396264496447535,0.826948190277141
"Cxcl16",1839.65767414548,-0.513417362179915,0.602577422798228,-0.852035510716159,0.394194383041655,0.82690072302973
"Med11",174.417691854389,-0.312991609308467,0.28642817402841,-1.09274030171844,0.274507839440535,0.735788840342671
"Tm4sf5",148.169460078859,2.27083808910507e-06,0.956607013897666,2.37384637172229e-06,0.99999810594463,0.99999810594463
"Vmo1",5.54587906378829,-0.114958155907804,0.854734947402428,-0.134495677586562,0.893010628823408,0.98513743974685
"Gltpd2",5.22889549825581,-0.166318912993054,0.932959660601452,-0.178270208259415,0.858510774392035,0.981058609857895
"Psmb6",2702.97494113401,-0.206479082974063,0.182683510033263,-1.13025572443001,0.258368485163342,0.71848381068084
"Pld2",1283.33483943152,0.320013161898642,0.203773772170137,1.57043351796743,0.116314289783165,0.50980468870683
"Mink1",2376.72257110015,0.216151121987795,0.199913687502217,1.08122222489342,0.279598274073227,0.740288370090447
"Chrne",56.0590488532513,0.345537821551898,0.416995690671593,0.828636432658074,0.407310165771828,0.834291050272762
